,Pickup Address,Destination Address,Platform Type,Personal or Business,Distance (KM),Rider Id,Time from Pickup to Arrival
0,Nairobi,Nairobi,3,Business,4,Rider_Id_432,745
1,Pumwani,Nairobi,3,Personal,16,Rider_Id_856,1993
2,Pumwani,Nairobi,3,Business,3,Rider_Id_155,455
3,Nairobi,Nairobi,3,Business,9,Rider_Id_855,1341
4,Nairobi,Nairobi,1,Personal,9,Rider_Id_770,1214
5,Nairobi,Nairobi,3,Business,9,Rider_Id_124,3191
6,Nairobi,Pumwani,3,Business,5,Rider_Id_114,1380
7,Nairobi,Nairobi,3,Business,3,Rider_Id_913,646
8,Nairobi,Nairobi,3,Business,9,Rider_Id_394,3398
9,Nairobi,Kiambu,3,Business,14,Rider_Id_660,3439
10,Nairobi,Nairobi,3,Personal,9,Rider_Id_208,1056
11,Nairobi,Pumwani,1,Business,17,Rider_Id_937,3898
12,Kikuyu,Nairobi,3,Business,10,Rider_Id_868,2642
13,Nairobi,Ngong,3,Business,21,Rider_Id_536,2904
14,Nairobi,Nairobi,3,Business,1,Rider_Id_607,407
15,Pumwani,Nairobi,3,Business,13,Rider_Id_427,1906
16,Pumwani,Nairobi,3,Business,17,Rider_Id_265,2308
17,Nairobi,Nairobi,3,Business,13,Rider_Id_725,2639
18,Nairobi,Nairobi,3,Business,5,Rider_Id_436,1570
19,Nairobi,Nairobi,1,Personal,5,Rider_Id_447,4220
20,Nairobi,Nairobi,3,Personal,7,Rider_Id_366,1112
21,Pumwani,Nairobi,3,Business,24,Rider_Id_856,2124
22,Nairobi,Kiambu,1,Personal,11,Rider_Id_881,1488
23,Nairobi,Nairobi,2,Personal,10,Rider_Id_338,1404
24,Nairobi,Nairobi,3,Business,3,Rider_Id_596,3617
25,Pumwani,Nairobi,3,Business,13,Rider_Id_76,2606
26,Nairobi,Nairobi,1,Business,5,Rider_Id_407,1149
27,Nairobi,Ngong,3,Business,17,Rider_Id_630,1731
28,Nairobi,Nairobi,3,Business,9,Rider_Id_237,3241
29,Nairobi,Nairobi,3,Business,1,Rider_Id_407,713
30,Nairobi,Athi River,3,Business,20,Rider_Id_622,2221
31,Pumwani,Pumwani,3,Business,11,Rider_Id_302,2966
32,Nairobi,Nairobi,3,Business,12,Rider_Id_634,1823
33,Pumwani,Nairobi,3,Business,12,Rider_Id_75,1484
34,Nairobi,Nairobi,3,Business,3,Rider_Id_523,820
35,Nairobi,Nairobi,3,Business,7,Rider_Id_903,1629
36,Nairobi,Nairobi,3,Business,4,Rider_Id_619,2
37,Nairobi,Nairobi,3,Business,8,Rider_Id_328,1382
38,Pumwani,Athi River,1,Personal,9,Rider_Id_521,1984
39,Nairobi,Ngong,3,Business,16,Rider_Id_427,1941
40,Nairobi,Pumwani,3,Business,21,Rider_Id_330,2631
41,Nairobi,Nairobi,1,Personal,8,Rider_Id_229,3805
42,Nairobi,Nairobi,3,Business,16,Rider_Id_484,2087
43,Nairobi,Pumwani,2,Personal,21,Rider_Id_844,1540
44,Nairobi,Nairobi,3,Business,9,Rider_Id_477,2126
45,Nairobi,Nairobi,2,Personal,2,Rider_Id_650,628
46,Nairobi,Nairobi,3,Business,8,Rider_Id_726,1519
47,Ngong,Pumwani,1,Personal,18,Rider_Id_676,2172
48,Pumwani,Nairobi,3,Business,15,Rider_Id_650,1685
49,Nairobi,Nairobi,3,Business,12,Rider_Id_647,1617
50,Pumwani,Nairobi,3,Personal,11,Rider_Id_675,1641
51,Nairobi,Pumwani,3,Business,19,Rider_Id_771,2029
52,Nairobi,Nairobi,3,Business,3,Rider_Id_536,4
53,Nairobi,Nairobi,3,Business,8,Rider_Id_953,1055
54,Pumwani,Nairobi,3,Business,28,Rider_Id_650,1835
55,Nairobi,Nairobi,3,Business,8,Rider_Id_441,2093
56,Nairobi,Pumwani,3,Business,10,Rider_Id_108,1898
57,Ngong,Nairobi,2,Personal,8,Rider_Id_328,1141
58,Nairobi,Kiambu,3,Business,18,Rider_Id_519,2827
59,Nairobi,Nairobi,1,Business,8,Rider_Id_229,1220
60,Nairobi,Nairobi,3,Business,8,Rider_Id_462,2347
61,Nairobi,Nairobi,3,Business,2,Rider_Id_208,838
62,Nairobi,Pumwani,3,Business,9,Rider_Id_269,1019
63,Pumwani,Nairobi,3,Business,14,Rider_Id_882,1211
64,Nairobi,Nairobi,3,Business,11,Rider_Id_523,1296
65,Nairobi,Pumwani,3,Business,11,Rider_Id_61,4293
66,Nairobi,Nairobi,1,Personal,3,Rider_Id_474,957
67,Nairobi,Nairobi,3,Business,2,Rider_Id_547,390
68,Pumwani,Nairobi,3,Business,4,Rider_Id_188,490
69,Nairobi,Nairobi,3,Business,9,Rider_Id_101,994
70,Nairobi,Nairobi,1,Business,4,Rider_Id_668,2786
71,Nairobi,Nairobi,3,Business,7,Rider_Id_76,847
72,Nairobi,Nairobi,2,Personal,6,Rider_Id_565,1661
73,Pumwani,Nairobi,3,Business,4,Rider_Id_448,595
74,Nairobi,Nairobi,3,Business,15,Rider_Id_39,1962
75,Pumwani,Nairobi,3,Business,11,Rider_Id_231,2873
76,Pumwani,Nairobi,3,Business,19,Rider_Id_720,1671
77,Nairobi,Nairobi,2,Personal,19,Rider_Id_194,2242
78,Nairobi,Ngong,3,Business,19,Rider_Id_401,2727
79,Nairobi,Pumwani,3,Business,15,Rider_Id_147,4025
80,Nairobi,Nairobi,3,Business,14,Rider_Id_239,2918
81,Nairobi,Nairobi,3,Business,5,Rider_Id_185,14
82,Nairobi,Kiambu,1,Business,8,Rider_Id_743,679
83,Nairobi,Nairobi,3,Business,5,Rider_Id_726,801
84,Nairobi,Pumwani,3,Business,11,Rider_Id_710,1361
85,Nairobi,Pumwani,3,Business,8,Rider_Id_949,1349
86,Nairobi,Nairobi,3,Business,4,Rider_Id_613,4
87,Pumwani,Nairobi,3,Business,23,Rider_Id_75,2919
88,Nairobi,Nairobi,4,Business,12,Rider_Id_622,1147
89,Nairobi,Nairobi,3,Personal,3,Rider_Id_124,919
90,Nairobi,Nairobi,3,Business,14,Rider_Id_878,1848
91,Nairobi,Nairobi,3,Business,5,Rider_Id_785,748
92,Nairobi,Nairobi,3,Business,9,Rider_Id_532,3687
93,Nairobi,Nairobi,3,Business,7,Rider_Id_6,824
94,Pumwani,Nairobi,3,Business,18,Rider_Id_564,5105
95,Nairobi,Nairobi,3,Business,5,Rider_Id_795,1487
96,Pumwani,Pumwani,1,Personal,4,Rider_Id_810,1694
97,Nairobi,Nairobi,3,Business,6,Rider_Id_161,1307
98,Nairobi,Pumwani,3,Business,20,Rider_Id_190,2621
99,Nairobi,Nairobi,2,Personal,4,Rider_Id_103,1196
100,Nairobi,Nairobi,3,Business,4,Rider_Id_349,744
101,Nairobi,Nairobi,3,Business,6,Rider_Id_85,1364
102,Nairobi,Nairobi,3,Business,4,Rider_Id_247,328
103,Nairobi,Nairobi,3,Business,11,Rider_Id_411,1495
104,Nairobi,Nairobi,1,Business,6,Rider_Id_427,1693
105,Nairobi,Nairobi,3,Business,14,Rider_Id_829,1914
106,Nairobi,Nairobi,3,Business,9,Rider_Id_508,2053
107,Nairobi,Nairobi,3,Business,10,Rider_Id_21,1649
108,Nairobi,Pumwani,3,Business,15,Rider_Id_116,2008
109,Nairobi,Nairobi,3,Business,10,Rider_Id_555,1559
110,Pumwani,Nairobi,3,Personal,4,Rider_Id_531,215
111,Nairobi,Nairobi,3,Business,7,Rider_Id_448,2016
112,Pumwani,Nairobi,3,Business,6,Rider_Id_438,1052
113,Ngong,Nairobi,3,Business,17,Rider_Id_952,1979
114,Nairobi,Nairobi,3,Business,2,Rider_Id_438,376
115,Nairobi,Nairobi,1,Personal,9,Rider_Id_482,2057
116,Nairobi,Kiambu,3,Business,16,Rider_Id_245,2216
117,Nairobi,Nairobi,1,Personal,6,Rider_Id_249,1311
118,Nairobi,Kiambu,3,Business,19,Rider_Id_606,2430
119,Nairobi,Pumwani,3,Business,14,Rider_Id_551,1431
120,Pumwani,Nairobi,2,Personal,8,Rider_Id_408,1588
121,Nairobi,Nairobi,1,Personal,6,Rider_Id_116,463
122,Kiambu,Nairobi,1,Personal,20,Rider_Id_265,1491
123,Pumwani,Pumwani,2,Personal,10,Rider_Id_753,1595
124,Nairobi,Nairobi,1,Personal,8,Rider_Id_446,1744
125,Nairobi,Nairobi,3,Business,4,Rider_Id_885,737
126,Nairobi,Nairobi,3,Business,4,Rider_Id_793,16
127,Nairobi,Nairobi,3,Business,6,Rider_Id_705,1019
128,Nairobi,Nairobi,2,Personal,7,Rider_Id_328,1321
129,Nairobi,Thika,3,Business,48,Rider_Id_102,5530
130,Nairobi,Nairobi,3,Business,7,Rider_Id_726,2380
131,Nairobi,Nairobi,3,Business,8,Rider_Id_332,1421
132,Nairobi,Kiambu,1,Business,19,Rider_Id_532,2284
133,Nairobi,Nairobi,2,Personal,14,Rider_Id_882,1715
134,Nairobi,Nairobi,3,Business,7,Rider_Id_709,770
